N,Scenario,Output,tokens_per_second,total_tokens,total_time,mean_time_per_token,max_time_per_token,min_time_per_token,accepted_tokens,total_draft_tokens,verification_rounds,total_draft_time,total_target_time,peak_memory_MB,model_memory_MB,memory_bandwidth_GB_per_s,peak_memory_bandwidth_GB_per_s
50,Llama2 1.1b - Baseline,The first digits of pi are 3 and 1. The second digit of pi is 1. The third digit of pi is 1. The fourth digit of pi is 1. The fifth digit of pi is 1. The sixth digit of pi is 1.,19.615093155118608,50,2.5490574836730957,0.050981149673461915,0.06121397018432617,0.045140743255615234,0,0,0,0.0,0.0,2216.428032,2200.096768,43.15510305459537,48.738603073982866
50,Llama2 7b - Baseline,The first digits of pi are 3.141592653589793238462643383279502884197169399375,5.813154206176111,50,8.601182460784912,0.17202364921569824,0.44395971298217773,0.05182051658630371,0,0,0,0.0,0.0,13520.900608,13476.831232,78.34289816222638,260.067481372078
50,Llama2 1.1b -> 7b - Speculative,The first digits of pi are 3.141592653589793238462643383279502884197169399375,9.296434173803945,50,5.378406286239624,0.10756812572479248,0.32497692108154297,0.034864187240600586,45,62,14,2.640458345413208,2.737947940826416,15724.014592,15676.928,60.442000764372274,110.99402506274183
50,Llama2 1.1b -> 7b - Speculative with Adaptive K,The first digits of pi are 3.141592653589793238462643383279502884197169399375,11.417802652059327,50,4.379126310348511,0.08758252620697021,0.0561528205871582,0.03603839874267578,45,62,12,2.3929193019866943,1.9862070083618164,15724.014592,15676.928,68.07932753514791,143.57322468352822
50,Llama2 1.1b -> 7b - Speculative with KV Cache,The first digits of pi are 3.141592653589793238462643383279502884197169399375,10.278731444546244,50,4.864413499832153,0.09728826999664307,0.21549034118652344,0.031580209732055664,36,66,14,2.4500012397766113,2.414412260055542,15724.719104,15676.928,68.6376731639941,151.00721601946574
50,Llama2 1.1b -> 7b - Speculative with Full Decoder,The first digits of pi are 3.141592653589793238462643383279502884197169399375,11.849550210228104,50,4.219569444656372,0.08439138889312744,0.13924217224121094,0.029536008834838867,38,68,12,2.3845772743225098,1.8349921703338623,15725.167104,15676.928,73.78206688890117,229.7409675734327
50,Llama2 1.1b - Baseline,The first digits of pi are 3 and 1. The second digit of pi is 1. The third digit of pi is 1. The fourth digit of pi is 1. The fifth digit of pi is 1. The sixth digit of pi is 1.,26.70690538048469,50,1.8721749782562256,0.037443499565124515,0.04121828079223633,0.034628868103027344,0,0,0,0.0,0.0,2216.29696,2200.096768,58.75777621088618,63.53360327730902
50,Llama2 7b - Baseline,The first digits of pi are 3.141592653589793238462643383279502884197169399375,5.929071952342877,50,8.43302297592163,0.16866045951843261,0.25729990005493164,0.03817248344421387,0,0,0,0.0,0.0,13520.900608,13476.831232,79.9051020641097,353.0509418307915
50,Llama2 1.1b -> 7b - Speculative,The first digits of pi are 3.141592653589793238462643383279502884197169399375,9.849108227185223,50,5.07660174369812,0.1015320348739624,0.1885089874267578,0.0361330509185791,43,64,14,2.597736120223999,2.478865623474121,15724.014592,15676.928,64.90204413001372,165.81429439130807
50,Llama2 1.1b -> 7b - Speculative with Adaptive K,The first digits of pi are 3.141592653589793238462643383279502884197169399375,9.58844327475236,50,5.214610815048218,0.10429221630096436,0.08819890022277832,0.03554391860961914,42,71,15,2.8006553649902344,2.4139554500579834,15724.014592,15676.928,68.72216388111917,362.4107348992289
